symbol,date,open,high,low,close,volume
SPY,1993-01-29,24.130409,24.130409,24.010357,24.113258,1003200
SPY,1993-02-01,24.130413,24.284765,24.130413,24.284765,480500
SPY,1993-02-02,24.267623,24.353374,24.216172,24.336224,201300
SPY,1993-02-03,24.370520,24.610624,24.353370,24.593473,529400
SPY,1993-02-04,24.679223,24.747824,24.404819,24.696373,531500
SPY,1993-02-05,24.679224,24.730675,24.542022,24.679224,492100
SPY,1993-02-08,24.679224,24.764975,24.644923,24.679224,596100
SPY,1993-02-09,24.593467,24.593467,24.456264,24.507715,122100
SPY,1993-02-10,24.507716,24.559167,24.439115,24.542017,379600
SPY,1993-02-11,24.576316,24.764969,24.576316,24.662067,19500
SPY,1993-02-12,24.627760,24.627760,24.473408,24.473408,42500
SPY,1993-02-16,24.404821,24.404821,23.821712,23.856012,374800
SPY,1993-02-17,23.856002,23.890303,23.753101,23.838852,210900
SPY,1993-02-18,24.113261,24.113261,23.495852,23.821707,378100
SPY,1993-02-19,23.821702,23.907454,23.787402,23.907454,34900
SPY,1993-02-22,23.976054,24.027505,23.907453,23.993204,513600
SPY,1993-02-23,24.061808,24.078959,23.856005,23.976057,373700
SPY,1993-02-24,23.993211,24.284765,23.993211,24.284765,26300
SPY,1993-02-25,24.267623,24.353374,24.216172,24.336224,44500
SPY,1993-02-26,24.387668,24.387668,24.250466,24.370518,66200
SPY,1993-03-01,24.456265,24.456265,24.267612,24.301912,66500
SPY,1993-03-02,24.319062,24.662067,24.284762,24.662067,182400
SPY,1993-03-03,24.696360,24.782111,24.662060,24.764961,280100
SPY,1993-03-04,24.799261,24.799261,24.627758,24.627758,89500
SPY,1993-03-05,24.662081,24.764982,24.542029,24.559179,40000
SPY,1993-03-08,24.610612,25.107969,24.610612,25.107969,50800
SPY,1993-03-09,25.056525,25.073675,24.970774,25.022224,169300
SPY,1993-03-10,25.022226,25.073677,24.919325,25.073677,194400
SPY,1993-03-11,25.090821,25.159422,24.970769,25.005070,70900
SPY,1993-03-12,24.799274,24.816425,24.593471,24.747824,643600
SPY,1993-03-15,24.730670,24.867872,24.730670,24.867872,310800
SPY,1993-03-16,24.867872,24.936473,24.867872,24.867872,30800
SPY,1993-03-17,24.833562,24.833562,24.679210,24.713511,21800
SPY,1993-03-18,24.816421,24.970774,24.816421,24.867872,59300
SPY,1993-03-19,24.968083,24.968083,24.830233,24.830233,66900
SPY,1993-03-22,24.588997,24.744078,24.571766,24.692385,183400
SPY,1993-03-23,24.761313,24.778544,24.709619,24.744081,55200
SPY,1993-03-24,24.709619,24.847469,24.589000,24.744081,37200
SPY,1993-03-25,24.761312,24.950856,24.726850,24.899162,110100
SPY,1993-03-26,24.881937,24.899168,24.744087,24.761318,101500
SPY,1993-03-29,24.778554,24.985329,24.778554,24.864710,87100
SPY,1993-03-30,24.899167,24.933630,24.864705,24.933630,56000
SPY,1993-03-31,25.002563,25.071488,24.916407,24.916407,111600
SPY,1993-04-01,24.950851,24.950851,24.778539,24.830233,129500
SPY,1993-04-02,24.623464,24.623464,24.313301,24.313301,59400
SPY,1993-04-05,24.502847,24.502847,24.364997,24.433922,172200
SPY,1993-04-06,24.485609,24.485609,24.296065,24.364990,129700
SPY,1993-04-07,24.399469,24.451162,24.347775,24.451162,28000
SPY,1993-04-08,24.554539,24.554539,24.313301,24.416689,180800
SPY,1993-04-12,24.657931,24.778549,24.623468,24.761318,348500
SPY,1993-04-13,24.744092,24.899173,24.726861,24.813017,146100
