symbol,date,open,high,low,close,volume,asset,source,provenance
ETHUSD,2019-01-02,139.1,155.37,137.76,152.01,941486.31524,crypto,binance,ohlc
ETHUSD,2019-01-03,152.01,153.64,143.11,146.3,708091.31714,crypto,binance,ohlc
ETHUSD,2019-01-04,146.3,154.8,143.54,151.97,805248.93821,crypto,binance,ohlc
ETHUSD,2019-01-05,152.08,159.26,151.2,152.83,773169.13736,crypto,binance,ohlc
ETHUSD,2019-01-06,152.83,157.4,147.51,153.86,627908.47366,crypto,binance,ohlc
ETHUSD,2019-01-07,153.89,155.48,147.86,149.34,424765.30258,crypto,binance,ohlc
ETHUSD,2019-01-08,149.29,151.65,145.2,147.6,441661.06778,crypto,binance,ohlc
ETHUSD,2019-01-09,147.62,151.5,146.77,148.1,299443.563,crypto,binance,ohlc
ETHUSD,2019-01-10,148.11,149.45,121.0,124.95,871751.75038,crypto,binance,ohlc
ETHUSD,2019-01-11,124.96,127.36,120.08,124.65,545293.98369,crypto,binance,ohlc
ETHUSD,2019-01-12,124.67,126.19,122.0,123.35,300262.13404,crypto,binance,ohlc
ETHUSD,2019-01-13,123.35,124.25,111.87,114.16,422561.96777,crypto,binance,ohlc
ETHUSD,2019-01-14,114.17,130.05,113.94,126.95,546420.40854,crypto,binance,ohlc
ETHUSD,2019-01-15,126.95,129.4,116.0,118.95,649020.5297,crypto,binance,ohlc
ETHUSD,2019-01-16,118.93,126.88,118.52,121.48,513486.65472,crypto,binance,ohlc
ETHUSD,2019-01-17,121.49,122.99,116.8,121.54,447535.22716,crypto,binance,ohlc
ETHUSD,2019-01-18,121.56,121.98,117.66,119.17,235646.684,crypto,binance,ohlc
ETHUSD,2019-01-19,119.16,125.29,119.14,122.6,323303.79296,crypto,binance,ohlc
ETHUSD,2019-01-20,122.61,123.32,115.68,117.47,451792.85352,crypto,binance,ohlc
ETHUSD,2019-01-21,117.56,118.5,113.61,115.63,303632.93463,crypto,binance,ohlc
ETHUSD,2019-01-22,115.62,119.49,111.39,117.81,359542.63873,crypto,binance,ohlc
ETHUSD,2019-01-23,117.8,118.95,114.8,116.44,230247.61578,crypto,binance,ohlc
ETHUSD,2019-01-24,116.4,117.15,113.61,116.39,216242.29829,crypto,binance,ohlc
ETHUSD,2019-01-25,116.4,117.5,114.3,115.11,198617.08108,crypto,binance,ohlc
ETHUSD,2019-01-26,115.13,118.0,115.0,115.34,146216.82819,crypto,binance,ohlc
ETHUSD,2019-01-27,115.32,116.15,111.04,112.05,247369.60555,crypto,binance,ohlc
ETHUSD,2019-01-28,112.04,112.87,100.91,105.5,566205.78288,crypto,binance,ohlc
ETHUSD,2019-01-29,105.49,106.61,102.22,104.45,319768.91348,crypto,binance,ohlc
ETHUSD,2019-01-30,104.41,109.8,103.45,108.29,330968.19265,crypto,binance,ohlc
ETHUSD,2019-01-31,108.29,110.61,105.46,106.44,290679.61935,crypto,binance,ohlc
ETHUSD,2019-02-01,106.47,108.35,103.77,106.73,243149.88435,crypto,binance,ohlc
ETHUSD,2019-02-02,106.71,111.15,106.07,110.42,186908.7573,crypto,binance,ohlc
ETHUSD,2019-02-03,110.41,111.11,105.82,107.36,227211.54064,crypto,binance,ohlc
ETHUSD,2019-02-04,107.33,109.3,106.57,107.68,160850.10293,crypto,binance,ohlc
ETHUSD,2019-02-05,107.65,108.18,106.47,107.27,159730.1886,crypto,binance,ohlc
ETHUSD,2019-02-06,107.28,107.83,101.21,104.5,337204.30254,crypto,binance,ohlc
ETHUSD,2019-02-07,104.49,106.18,103.82,104.48,147942.07683,crypto,binance,ohlc
