symbol,date,open,high,low,close,volume
QQQ,2019-01-02,144.164227,148.709038,144.059199,147.878372,58576700
QQQ,2019-01-03,145.701396,146.331549,142.731990,143.047073,74820200
QQQ,2019-01-04,145.453168,149.902507,144.880301,149.167313,74709300
QQQ,2019-01-07,149.539660,151.678401,149.052721,150.943207,52059300
QQQ,2019-01-08,152.327694,152.871933,150.093482,152.308609,49388700
QQQ,2019-01-09,152.900568,154.218187,152.260859,153.549835,46491700
QQQ,2019-01-10,152.384953,154.074926,151.525631,153.988998,38943400
QQQ,2019-01-11,153.081964,153.588003,152.566367,153.425690,30176600
QQQ,2019-01-14,152.127171,152.728695,151.420618,152.069885,30710200
QQQ,2019-01-15,152.766879,155.249347,152.680952,155.039291,40874200
QQQ,2019-01-16,155.297092,156.376013,154.953366,155.010666,33812200
QQQ,2019-01-17,154.514128,156.929752,154.265887,156.232758,39329000
QQQ,2019-01-18,157.330726,158.514674,156.414134,157.779480,57183200
QQQ,2019-01-22,156.643389,156.719775,153.492568,154.619232,56711700
QQQ,2019-01-23,155.411653,156.118191,153.072413,154.819672,38106100
QQQ,2019-01-24,155.325723,156.051375,154.733756,155.822220,32417800
QQQ,2019-01-25,157.072985,158.161448,156.538303,157.684052,36515900
QQQ,2019-01-28,155.650385,155.745856,154.437794,155.736313,33491200
QQQ,2019-01-29,155.822233,155.860433,153.712148,154.265930,30784200
QQQ,2019-01-30,156.013182,158.762991,155.526243,158.190109,41346500
QQQ,2019-01-31,159.164010,161.350494,158.944411,160.558014,37258400
QQQ,2019-02-01,159.765495,160.978086,159.440869,159.880066,32143700
QQQ,2019-02-04,159.908760,161.866089,159.765547,161.866089,26718800
QQQ,2019-02-05,162.085703,163.489250,162.018875,163.298294,28156400
QQQ,2019-02-06,163.336403,163.622829,162.076070,162.811264,27970000
QQQ,2019-02-07,161.388654,161.789665,159.402683,160.624817,42036200
QQQ,2019-02-08,159.221250,160.968523,159.039852,160.939880,29020700
QQQ,2019-02-11,161.522273,161.913742,160.386068,160.787079,21434100
QQQ,2019-02-12,161.961547,163.403280,161.675106,163.164581,29722100
QQQ,2019-02-13,163.890211,164.377165,163.097746,163.279144,26094100
QQQ,2019-02-14,162.696723,164.062084,162.152498,163.479660,30326800
QQQ,2019-02-15,164.720865,164.759051,163.403247,164.167084,32521700
QQQ,2019-02-19,163.661095,164.988257,163.632452,164.491760,19487700
QQQ,2019-02-20,164.606317,165.255584,163.575154,164.463104,32593000
QQQ,2019-02-21,164.023901,164.472655,162.992737,163.861588,25207400
QQQ,2019-02-22,164.214880,165.188759,164.128938,165.074188,27735400
QQQ,2019-02-25,166.334499,166.764153,165.561105,165.675690,32608800
QQQ,2019-02-26,165.274682,166.372689,164.997784,165.847549,21939700
QQQ,2019-02-27,165.083714,165.943036,163.995250,165.742523,25162000
QQQ,2019-02-28,165.226956,165.952593,164.892772,165.360626,25085500
QQQ,2019-03-01,166.554075,166.754573,165.351027,166.506332,31431200
QQQ,2019-03-04,167.604383,167.843081,164.673175,166.535019,38063500
QQQ,2019-03-05,166.659149,167.174731,165.838026,166.659149,22319900
QQQ,2019-03-06,166.821446,166.850089,165.446542,165.713882,27194600
QQQ,2019-03-07,165.293763,165.351048,163.069094,163.680161,39407400
QQQ,2019-03-08,161.846940,163.517828,161.684627,163.431900,39303200
QQQ,2019-03-11,164.109812,166.945548,164.081169,166.830963,30518400
QQQ,2019-03-12,167.270208,168.177258,166.869196,167.747604,33953500
QQQ,2019-03-13,168.616450,169.886312,168.377752,169.007904,42426100
QQQ,2019-03-14,169.122462,169.322960,168.673708,168.721451,23751500
QQQ,2019-03-15,169.380288,170.793393,169.265718,170.287354,38192000
QQQ,2019-03-18,170.214636,171.209436,169.870285,170.692902,32935100
QQQ,2019-03-19,171.391170,172.175532,170.539858,171.266830,36893300
QQQ,2019-03-20,171.276354,172.998112,170.492007,171.945923,50105000
QQQ,2019-03-21,171.429436,174.882512,171.410301,174.633820,42428500
QQQ,2019-03-22,173.878156,174.346862,170.616383,170.798126,70794500
QQQ,2019-03-25,170.176363,171.065929,169.238952,170.472885,46336500
QQQ,2019-03-26,171.792925,172.835540,170.396384,171.266830,33248100
QQQ,2019-03-27,171.525049,171.907656,168.923285,170.166763,37096700
QQQ,2019-03-28,170.606805,171.199849,169.535495,170.558975,30368200
QQQ,2019-03-29,171.879037,172.012950,170.826847,171.850342,35205500
QQQ,2019-04-01,173.619871,174.337269,172.912048,174.126831,30969500
