symbol,date,open,high,low,close,volume
SPY,2024-10-01,561.857698,562.504386,554.606634,557.173889,72668800
SPY,2024-10-02,556.282303,558.428222,553.891417,557.409119,38097800
SPY,2024-10-03,555.939253,558.330139,554.106900,556.390015,40846500
SPY,2024-10-04,560.828722,561.818400,556.664273,561.446045,42939100
SPY,2024-10-07,559.799969,560.446717,555.223991,556.370422,49964700
SPY,2024-10-08,558.937681,562.230091,558.065641,561.632324,37398700
SPY,2024-10-09,561.622475,566.080933,561.024769,565.522400,37912200
SPY,2024-10-10,564.180037,565.953600,562.925774,564.532776,44138100
SPY,2024-10-11,564.454298,568.648172,564.317102,567.913269,42268000
SPY,2024-10-14,569.520227,573.488750,569.040100,572.557861,36217200
SPY,2024-10-15,572.822488,573.126246,566.894224,568.109314,54203600
SPY,2024-10-16,568.109380,571.097973,567.305879,570.578613,30725400
SPY,2024-10-17,574.115839,574.321633,570.441325,570.627502,34393700
SPY,2024-10-18,572.312958,573.606394,570.852961,572.822510,37416800
SPY,2024-10-21,572.097318,573.077188,568.912739,571.881775,36439000
SPY,2024-10-22,569.353678,572.734243,568.697182,571.578003,34183800
SPY,2024-10-23,569.559420,570.000373,562.857080,566.355225,49314600
SPY,2024-10-24,568.305234,568.383640,564.963902,567.580139,34979900
SPY,2024-10-25,569.804528,572.695158,566.443579,567.384216,47268200
SPY,2024-10-28,570.852957,570.980345,568.834426,569.138184,30174700
SPY,2024-10-29,568.177810,571.176211,566.786411,570.059204,42899700
SPY,2024-10-30,569.588798,571.577963,567.629057,568.334595,41435800
SPY,2024-10-31,563.974229,564.042827,556.997556,557.193542,60182500
SPY,2024-11-01,559.819619,563.964453,559.133698,559.545227,45667500
SPY,2024-11-04,559.682322,560.975758,556.458571,558.339905,38217000
SPY,2024-11-05,559.251199,565.130421,559.035656,565.091248,39478300
SPY,2024-11-06,577.339589,580.014616,573.606286,579.142517,68182000
SPY,2024-11-07,581.141504,584.639648,581.063097,583.620544,47233200
SPY,2024-11-08,584.169263,587.569445,584.169263,586.148621,46444900
SPY,2024-11-11,587.736066,588.088805,584.982633,586.707214,37586800
SPY,2024-11-12,586.628782,587.226488,582.405543,584.884644,43006100
SPY,2024-11-13,585.345193,587.167737,582.983731,585.168823,47388600
SPY,2024-11-14,585.296183,585.776310,580.720205,581.406067,38904100
SPY,2024-11-15,577.849163,578.319542,572.107137,573.959106,75988800
SPY,2024-11-18,574.419649,577.623845,573.557418,576.310852,37001700
SPY,2024-11-19,572.940099,579.142636,572.273794,578.417542,49412000
SPY,2024-11-20,578.495885,578.897605,572.861630,578.613464,50032600
SPY,2024-11-21,581.455080,583.140428,575.624840,581.719604,46750300
SPY,2024-11-22,581.709909,584.149837,581.210225,583.522705,38226400
SPY,2024-11-25,587.451947,588.764940,583.218899,585.502014,42441400
SPY,2024-11-26,586.746347,589.225448,586.031061,588.559143,45621300
SPY,2024-11-27,588.372950,588.755054,585.256970,586.775757,34000200
SPY,2024-11-29,587.588998,591.204722,587.314665,590.420837,30177400
SPY,2024-12-02,590.832439,592.155300,590.342504,591.479187,31746000
SPY,2024-12-03,591.244048,591.998508,590.215196,591.753540,26906600
SPY,2024-12-04,593.438873,595.672946,592.772568,595.427979,42787600
SPY,2024-12-05,595.428052,596.231553,594.095442,594.448181,28762200
SPY,2024-12-06,595.212526,596.809720,594.800997,595.575073,31241500
SPY,2024-12-09,595.457354,595.623915,591.920036,592.507935,34742700
SPY,2024-12-10,593.184045,593.605382,590.009275,590.665771,37234500
SPY,2024-12-11,593.585881,596.182501,593.311488,595.232056,28677700
SPY,2024-12-12,594.369747,594.938029,592.165039,592.165039,31543800
SPY,2024-12-13,594.193404,594.908690,590.675643,592.047485,35904700
SPY,2024-12-16,593.801363,595.545561,593.027288,594.575439,43695200
SPY,2024-12-17,592.027830,592.988084,590.754011,592.125793,55773500
SPY,2024-12-18,591.822113,594.203191,574.096291,574.478455,108248700
SPY,2024-12-19,579.456191,581.063193,574.057095,574.302063,85919500
SPY,2024-12-20,571.977828,585.722501,571.132258,581.199951,125716700
SPY,2024-12-23,580.944331,585.280077,577.768657,584.680359,57635800
SPY,2024-12-24,586.027285,591.218442,585.447189,591.179077,33160100
SPY,2024-12-26,589.409450,592.339272,588.013367,591.218506,41219100
SPY,2024-12-27,587.482318,587.718329,580.816469,584.994934,64969300
SPY,2024-12-30,577.994873,581.780047,574.573406,578.319275,56578800
SPY,2024-12-31,579.980824,580.698577,574.583239,576.215332,57052700
